Student_ID,Gender,Attendance,Study_Hours,Internal_Marks,Final_Marks
S001,Female,92,5,85,88
S002,Male,78,3,70,72
S003,Female,95,6,90,94
S004,Male,65,2,60,62
S005,Female,88,4,80,84
S006,Male,72,3,68,70
S007,Female,90,5,82,89
S008,Male,55,1,50,48
S009,Female,96,7,94,97
S010,Male,80,4,75,78
S011,Female,,5,84,86
S012,Male,75,3,72,74
S013,Female,89,4,81,83
S014,Male,68,2,64,65
S015,Female,93,6,88,91
S016,Male,82,4,76,79
S017,Female,87,5,83,85
S018,Male,70,3,67,69
S019,Female,91,5,86,90
S020,Male,60,2,55,58
S020,Male,60,2,55,58
